========================================================================================================================
                                      RISC-V MULTI-CYCLE TRACE
========================================================================================================================
Cycle  | PC           | Instruction  | State           | rs1  | rs1_val      | rs2  | rs2_val      | Immediate    | ALU_result   | Activity
------------------------------------------------------------------------------------------------------------------------
0      | 0x00000000   | 0x00A00093   | FETCH           | -    | -            | -    | -            | -            | -            | IR <- MEM[0x00000000]
1      | 0x00000000   | 0x00A00093   | DECODE          | x0   | 0x00000000   | x10  | 0x00000000   | 10           | -            | Decode | A <- x0, B <- x10
2      | 0x00000000   | 0x00A00093   | EXECUTE_I       | x0   | 0x00000000   | -    | -            | 10           | 0x0000000A   | ALU execute I-type | imm = 10
3      | 0x00000000   | 0x00A00093   | WRITE_BACK_I    | -    | -            | -    | -            | -            | 0x0000000A   | REG[x1] <- ALUOut
4      | 0x00000004   | 0x01400113   | FETCH           | -    | -            | -    | -            | -            | -            | IR <- MEM[0x00000004]
5      | 0x00000004   | 0x01400113   | DECODE          | x0   | 0x00000000   | x20  | 0x00000000   | 20           | -            | Decode | A <- x0, B <- x20
6      | 0x00000004   | 0x01400113   | EXECUTE_I       | x0   | 0x00000000   | -    | -            | 20           | 0x00000014   | ALU execute I-type | imm = 20
7      | 0x00000004   | 0x01400113   | WRITE_BACK_I    | -    | -            | -    | -            | -            | 0x00000014   | REG[x2] <- ALUOut
8      | 0x00000008   | 0x002081B3   | FETCH           | -    | -            | -    | -            | -            | -            | IR <- MEM[0x00000008]
9      | 0x00000008   | 0x002081B3   | DECODE          | x1   | 0x0000000A   | x2   | 0x00000014   | 0            | -            | Decode | A <- x1, B <- x2
10     | 0x00000008   | 0x002081B3   | EXECUTE_R       | x0   | 0x00000000   | x0   | 0x00000000   | -            | 0x0000001E   | ALU execute R-type
11     | 0x00000008   | 0x002081B3   | WRITE_BACK_R    | -    | -            | -    | -            | -            | 0x0000001E   | REG[x3] <- ALUOut
12     | 0x0000000C   | 0x00000000   | FETCH           | -    | -            | -    | -            | -            | -            | IR <- MEM[0x0000000c]
13     | 0x0000000C   | 0x00000000   | DECODE          | x0   | 0x00000000   | x0   | 0x00000000   | 0            | -            | Decode | A <- x0, B <- x0
